,Rx Time (sec),Rx Intensity,Rx Voltage PWM (V)
61,6.915681600570679,100,3.3
62,6.930582761764526,100,3.3
63,6.945472002029419,100,3.3
64,6.960359811782837,100,3.3
65,6.975252866744995,100,3.3
66,6.990147829055786,100,3.3
67,7.005135774612427,100,3.3
68,7.019925832748413,100,3.3
69,7.034791946411133,100,3.3
70,7.049697637557983,100,3.3
71,7.064604759216309,100,3.3
72,7.0794758796691895,100,3.3
73,7.094366788864136,100,3.3
74,7.109334707260132,100,3.3
75,7.124155759811401,100,3.3
76,7.139115571975708,100,3.3
77,7.154022932052612,100,3.3
78,7.168889760971069,100,3.3
79,7.183764934539795,100,3.3
80,7.198638677597046,100,3.3
81,7.21354079246521,100,3.3
82,7.228425979614258,100,3.3
83,7.243276596069336,100,3.3
84,7.258189678192139,100,3.3
85,7.273123741149902,100,3.3
86,7.288007736206055,100,3.3
87,7.3028647899627686,100,3.3
88,7.317713737487793,100,3.3
89,7.332614898681641,100,3.3
90,7.34749698638916,100,3.3
91,7.362390756607056,100,3.3
92,7.37728476524353,100,3.3
93,7.392187833786011,100,3.3
94,7.407090902328491,100,3.3
95,7.422131776809692,100,3.3
96,7.4368977546691895,100,3.3
97,7.451764822006226,100,3.3
98,7.466661691665649,100,3.3
99,7.4815685749053955,100,3.3
100,7.496448993682861,100,3.3
101,7.511337995529175,100,3.3
102,7.526227951049805,100,3.3
103,7.541099786758423,100,3.3
104,7.556069850921631,100,3.3
105,7.570900917053223,100,3.3
106,7.5857789516448975,100,3.3
107,7.600676774978638,100,3.3
108,7.6155619621276855,100,3.3
109,7.630454778671265,100,3.3
110,7.645390748977661,100,3.3
111,7.660261869430542,100,3.3
112,7.675147771835327,100,3.3
113,7.6900858879089355,100,3.3
114,7.705026626586914,100,3.3
115,7.7198028564453125,100,3.3
116,7.734713792800903,100,3.3
117,7.749668836593628,100,3.3
118,7.764556646347046,100,3.3
119,7.7794578075408936,99,3.267
120,7.794343948364258,98,3.234
121,7.809253692626953,98,3.234
122,7.824123859405518,97,3.2009999999999996
123,7.839127779006958,96,3.1679999999999997
124,7.853871822357178,95,3.135
125,7.868820905685425,95,3.135
126,7.895453929901123,94,3.102
127,7.922168731689453,93,3.069
128,7.948699712753296,92,3.036
129,7.975345849990845,91,3.003
130,8.001859664916992,90,2.9699999999999998
131,8.028479814529419,88,2.904
132,8.055128812789917,87,2.871
133,8.081739664077759,85,2.8049999999999997
134,8.108314752578735,83,2.739
135,8.134926795959473,82,2.7059999999999995
136,8.16159987449646,81,2.673
137,8.188122749328613,80,2.64
138,8.21472978591919,80,2.64
139,8.24134874343872,80,2.64
140,8.268049716949463,80,2.64
141,8.294578790664673,80,2.64
142,8.32120966911316,80,2.64
143,8.347810745239258,80,2.64
144,8.374428749084473,80,2.64
145,8.40111780166626,80,2.64
146,8.427626848220825,80,2.64
147,8.454232692718506,80,2.64
148,8.480816841125488,80,2.64
149,8.507470846176147,80,2.64
150,8.534127712249756,80,2.64
151,8.56064772605896,80,2.64
152,8.587248802185059,80,2.64
153,8.613857746124268,80,2.64
154,8.640470027923584,80,2.64
155,8.667141914367676,80,2.64
156,8.693729639053345,80,2.64
157,8.72029972076416,80,2.64
158,8.74690580368042,80,2.64
159,8.77356481552124,79,2.6069999999999998
160,8.800126791000366,78,2.574
161,8.826745748519897,77,2.541
162,8.853391885757446,74,2.4419999999999997
163,8.880022764205933,70,2.3099999999999996
164,8.906569957733154,65,2.145
165,8.933181762695312,61,2.013
166,8.95983076095581,57,1.8809999999999998
167,8.986459732055664,53,1.7489999999999999
168,9.01311182975769,49,1.617
169,9.039618730545044,45,1.4849999999999999
170,9.066234827041626,42,1.386
171,9.092819929122925,39,1.287
172,9.1194429397583,36,1.188
173,9.146147727966309,34,1.122
174,9.172648906707764,32,1.056
175,9.199225664138794,31,1.023
176,9.225833892822266,30,0.9899999999999999
177,9.25243067741394,29,0.9569999999999999
178,9.279133796691895,28,0.924
179,9.305707693099976,27,0.891
180,9.332279682159424,26,0.858
181,9.35887885093689,25,0.825
182,9.385497808456421,25,0.825
183,9.412119626998901,25,0.825
184,9.438699722290039,25,0.825
185,9.465285778045654,25,0.825
186,9.491902828216553,25,0.825
187,9.518512725830078,25,0.825
188,9.545153617858887,25,0.825
189,9.571714639663696,25,0.825
190,9.59833288192749,25,0.825
191,9.624940633773804,25,0.825
192,9.65156078338623,25,0.825
193,9.678163766860962,24,0.7919999999999999
194,9.704776763916016,24,0.7919999999999999
195,9.731383800506592,24,0.7919999999999999
196,9.758017778396606,23,0.759
197,9.784587621688843,21,0.693
198,9.811216831207275,20,0.66
199,9.83783769607544,19,0.627
200,9.864452838897705,18,0.594
